"","Banks$Tone"
"2044",NA
"2045",-0.428571428571429
"2046",NA
"2047",NA
"2048",NA
"2049",-0.142857142857143
"2050",-1
"2051",-0.833333333333333
"2052",-0.555555555555556
"2053",NA
"2054",0
"2055",NA
"2056",NA
"2057",NA
"2058",0
"2059",-1
"2060",NA
"2061",NA
"2062",-0.6
"2063",-0.333333333333333
"2064",0
"2065",-0.5
"2066",-0.6
"2067",0
"2068",NA
"2069",-0.333333333333333
"2070",NA
"2071",NA
"2072",NA
"2073",0.5
"2074",NA
"2075",1
"2076",NA
"2077",-0.6
"2078",0
"2079",0
"2080",NA
"2081",-1
"2082",NA
"2083",0
"2084",1
"2085",-1
"2086",NA
"2087",-0.142857142857143
"2088",NA
"2089",1
"2090",NA
"2091",NA
"2092",NA
"2093",NA
